Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
Aadhar Housing,Andra Pradesh,Rajamahendravaram,None,"Aadhar Housing Finance Ltd. No. 79/2/10/1, E and S Reddy Towers,Tilak Road, Gandhipuram,Rajahmundry-533103",533103,,
Aadhar Housing,Gujarat,Ahmedabad - Chandkheda,None,"Aadhar Housing Finance Ltd. Office No 19, 4th Floor, Nakshtra, IOC Road, Chandkheda, Opposite Maniprabhu School,Ahmedabad-382424",382424,,
Aadhar Housing,Madhya Pradesh,Katni,None,"Aadhar Housing Finance Ltd. House No. Old 1, New 2, First Floor, Commercial Complex , Pandit Jawahar Lal Nehru Ward No.28,Housing Board Colony Road, Jabalpur Road, Katni - 483504",483504,,
Aadhar Housing,Tamil nadu,Erode,None,"Aadhar Housing Finance Ltd. House no 55/1, Plot no 24, Sri Vari Complex, Meenatchi Sundaram Street. Thriunagar Colony, 3rd Street, Ward no 13, Opp. VOC Park, ERODE - 638003.",638003,,
Aadhar Housing,Karnataka,KR Puram,None,"Aadhar Housing Finance Ltd. Office No. 1218, 2nd Floor, Pooja Complex, Old Madras Road, K R Puram, Bangalore-560036",560036,,
Aadhar Housing,Rajasthan,Bijoliya,None,"Aadhar Housing Finance Ltd. Patta No- 333, First Floor, Near Bus Stand, Bundi-Bhilwara Road, Above AU Bank, Bijolia, Bhilwara, Rajasthan, 311602",311602,,
Aadhar Housing,Maharastra,Pune,None,"Aadhar Housing Finance Ltd. Office No 103, 1st Floor, Arissa Avenue Downtown City, Kharadi, Wagholi, Pune, Maharashtra 411014",411014,,
Aadhar Housing,Uttar Pradesh,Mathura,None,"Aadhar Housing Finance Ltd. 1st Floor, Lalit Grace Spire, No. 64/138/1A, Brij Nagar Colony, Manoharpura, Mathura, Uttar Pradesh 281001",281001,,
Aadhar Housing,Gujarat,Junagadh,None,"Aadhar Housing Finance Ltd. Office No.202/A, 202/B,Marigold Complex-3,2nd Floor,College Road, Opp Bahauddin Science College,R.S.no.265/1,Jungadh,Gujarat-362001",362001,,
Aadhar Housing,Karnataka,Hosakote,None,"Aadhar Housing Finance Ltd. 2nd Floor, HJLG Complex, Old RMC Complex, K R Road-Hosakote562114",,,
Aadhar Housing,Maharastra,Panvel,None,"Aadhar Housing Finance Ltd. Shop No. - 13 and 14, Ground Floor, Shree Bhagwanti Heritage, Plot No. - 29 to 32, 47, 48, 49, and 52, Sector - 21, Kamothe, Navi Mumbai - 410209.",410209,,
Aadhar Housing,Andra Pradesh,Puttur,None,"Aadhar Housing Finance Ltd. Office No. 4-46, 1st Floor, Gramakantam Survey No. 191-2A, Ward No. 4, Bazaar Street, Puttur - 517583",517583,,
Aadhar Housing,Rajasthan,Kotputli,None,"Aadhar Housing Finance Ltd. 1st Floor, NH 08 ,Laxmi Nagar Ward No. 12 Kotputli , Rajasthan 303108",303108,,
Aadhar Housing,Rajasthan,Udaipur - Hiran Magri,None,"Aadhar Housing Finance Ltd. 1st Flr, Plot No.05, Paneriyon Ki Madri, Khasra No. 273 to 279, Madari Paneriyan 100 Fts Road, Udaipur - 313001",313001,,
