Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
Capri Global,Madhya Pradesh,Vidisha,Vidisha,"Office No 10, 3rd Floor, Gaurav Business Square, Infront of Adani Wilmare Ltd. Plant, Sanchi Road, Vidisha, Madhya Pradesh - 464001",464001,23.520021,77.7995
Capri Global,Madhya Pradesh,Jhabua,Jhabua,"Office No 4, 2Nd Floor, 90 Sardar Patel Marg, Ramkrishnanagar, Near Bajaj Showroom, Rajgarhnaka, City: Jhabua, District: Jhabua, State: Madhya Pradesh, PinCode: 457661",457661,22.764796,74.600562
Capri Global,Haryana,Gurugram,Gurugram,"1st Floor SCO -22/1511,Sec 15 Part –II Gurugram, Haryana 122001.",122001,28.457772,77.044445
Capri Global,Madhya Pradesh,Chhatarpur,Chhatarpur,"Office No 2, 2Nd Floor, Near Shahani Garden, Jawahar Road, City: Chhatarpur, District: Chhatarpur, State: Madhya Pradesh, PinCode: 471001",471001,24.91139,79.583355
Capri Global,Uttar Pradesh,Jhansi,Jhansi,"No 1180/1, Ground Floor, Ward No 47, Civil Lion, Ansik Bhahar, Khanderao Gate, Near By Babulal Karkhana, Jhansi Nagar Nigam, City: Jhansi, District: Jhansi, State: Uttar Pradesh, Pincode: 284001",284001,25.454179,78.567752
Capri Global,Maharashtra,Amravati,Amravati,"Shop No.1, Ground Floor, Vimaco Tower, Bus Stand Road, Infront Of Usmania Masjid, Bus Stand Road, City: Amravati, District: Amravati, State: Maharashtra, PinCode: 444602",444602,20.9297976,77.7589845
Capri Global,Rajasthan,Ajmer,Ajmer,"First Floor, 1232/28, Rajkamal Tower, Nasirabad Road, Ajmer, Rajasthan - 305001",305001,26.431443,74.647666
Capri Global,Rajasthan,Udaipur,Udaipur HL,"Raj Tower Plot No- 40 (222/ 14/21), 2nd floor Mehta Bhagwat Singh Ji Ki Bari, Saheli Marg Udaipur Rajasthan- 313001.",313001,24.5968,73.6884
Capri Global,Rajasthan,Chittorgarh,Chittorgarh,"Shop No. 12, 2nd Floor, Shri Kalyan Complex, Near Pannadhay Private Bus Stand, Chittorgarh, Rajasthan, Pin Code- 312001",312001,24.8804,74.6343
Capri Global,Madhya Pradesh,Barwani,Barwani,"98/6, 1St Floor, Love Kush Complex, Near Sbi Bank, Zanda Chowk, Champa Bavdi, Indra Bhavan Parisar, City: Barwani, District: Barwani, State: Madhya Pradesh, PinCode: 451551",451551,22.033419,74.896106
Capri Global,Rajasthan,Phalodi,Phalodi,"Ground Floor, Hotel Anand, Opposite City Light Hospital, Aadarsh Nagar, Nagaur Road, City: Phalodi, District: Jodhpur, State: Rajasthan, PinCode: 342301",342301,27.1262,72.38118
Capri Global,Madhya Pradesh,Betul,Itarsi Road,"Shree Manohar Complex, Office No 3, 1st Floor, Amla Road, Kalapatha Kh. 394, Phn. 53, Bn 467, Vikas Ward No 28, Muncipal Limit, City: Betul, District: Betul, State: Madhya Pradesh, Pincode: 460001",460001,21.901893,77.891325
