Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
Federal Bank,KERALA,Kollam,ANCHAL,"P B NO. 2, R.O. JUNCTION, ANCHAL",691306.0,,
Federal Bank,PUNJAB,Jalandhar,JALANDHAR,"121-122, New Jawahar Nagar, Jalandhar-144001",144004.0,,
Federal Bank,TELANGANA,MEDCHAL-MALKAJGIRI,Kompally,"The Federal Bank Ltd, 1-115/BK-01,02, Kavi commercial complex, Bank Street, Bollarum Road, KomPally, Medchal, Telangana, Medchal Malkajgiri, Telangana, 500014",500014.0,,
Federal Bank,KERALA,Kasaragod,Kumbala,"891/A1,891/B1,891/C1,891/D1,891/E1, Nandagokula, Badiadka Road, Kumbala P.O, Kasargod ,Kerala, Kasaragod, Kerala, 671321",671321.0,,
Federal Bank,TELANGANA,Nizamabad,NIZAMABAD,"Bld No. 10-3-424, Girirajmal Apartment, Opp. Laxmi Shailaja Fuel Complex, Shivaji Nagar, R R Chowrastha, Nizamabad, Telangana - 503001",503001.0,,
Federal Bank,DELHI,South West Delhi,NEW DELHI / HAUZ KHAS,E-48 Hauz Khas Market New Delhi Delhi 110016,110016.0,,
Federal Bank,TAMILNADU,Salem,Attur,"702/C, KAMARAJAR ROAD, SALEM DT, ATTUR, ABOVE JAISURYA'S SUPERMARKET, ATTUR, SALEM",636102.0,,
Federal Bank,KERALA,Ernakulam,ERNAKULAM / ELAMAKKARA,Bldg No.337-J Perandoor Vayanasala Elamakkara Elamakkara P.O Ernakulam Pin- 682026,,,
Federal Bank,MAHARASHTRA,Kolhapur,KOTHALI,"NANDRE BUILDING, KUPADE GALLI, MAIN ROAD, KOTHALI, KOLHAPUR",416101.0,,
Federal Bank,KERALA,Alappuzha,DEVIKULANGARA,"DEVIKULANGARA, PUTHUPPALLY P O, KAYAMKULAM (VIA), ALAPUZHA, KERALA",690527.0,,
Federal Bank,KERALA,Ernakulam,KAKKANAD / SEAPORT-AIRPORT ROAD,"Plot No 8, Mavelipuram, Seaport Airport Road, Kakkanad, Kochi – 682 030",682030.0,,
Federal Bank,KARNATAKA,Bangalore Rural,BANNERGATTA,"LN Towers, # 53/3, 4, 5, Kemmanaikanahalli, Bannerghatta, Bangalore Urban, Karnataka, Bangalore Urban, Karnataka, 560 083",560083.0,,
Federal Bank,KERALA,Thrissur,CHERUTHURUTHY,Ground Floor Konikkal Complex Chungam Junction Cheruthuruthy 679531,679531.0,,
Federal Bank,WEST BENGAL,Purba Bardhaman,Bardhaman,"74, B C Road Kalitala, Bardhaman Dist West Bengal 713101",,,
Federal Bank,TAMILNADU,Tirunelveli,Vallioor,"Door No. 25/A, Radhapuram Road, Vallioor, Tirunelveli, Tirunelvali, Tamilnadu",627117.0,,
Federal Bank,KERALA,Kollam,VALLIKKAVU,"VALLIKAVU, CLAPPANA P O, KOLLAM, KERALA",690525.0,,
Federal Bank,ANDHRA PRADESH,Krishna,VIJAYAWADA,"D.No:29-7-50, Ramakrishna Towers, Prakasam Road, Suryaraopet, Vijayawada-520002. Andhra Pradesh, India.",520002.0,,
Federal Bank,KARNATAKA,Belgaum,UGAR KHURD,"TALUK - ATHANI, UGAR KHURD",591316.0,,
Federal Bank,KERALA,Kottayam,Thalanad,Nelluvelil Building Thalanad P O Kottayam District Kerala,686580.0,,
Federal Bank,ORISSA,Kalhandi,BHAWANIPATNA,"Jagannath Temple Road Bhawanipatna, Kalahandi Orissa",766001.0,,
Federal Bank,PUNJAB,Ludhiana,KHANNA,"SCO 39-40, Ground Floor Khanna City Centre G.T.Road, Khanna Ludhiana District, Punjab 141401",141401.0,,
Federal Bank,KERALA,Thrissur,MALA,"P K Joseph Galleria, Main Road, Mala - 680 732",680732.0,,
Federal Bank,UTTAR PRADESH,Lucknow,LUCKNOW / VIKAS NAGAR,"C2/78, Vikas Nagar Mama Chouraha Vikas Nagar, Lucknow Uttar Pradesh 226022",226022.0,,
Federal Bank,GUJARAT,Ahmedabad,Mankol,"Survey No. 1964/1/45, Near Karmabhumi Petroleum, Mankol Chokadi Post, Ahmedabad, Gujarat- 382110",,,
Federal Bank,ANDHRA PRADESH,Krishna,Gosala,"D.No 8-149, RS No.33/2,Ground Floor,Raja Gari layout, Kobbari Thota,Gosala, Krishna District ,521151, Andhra Pradesh",521151.0,,
Federal Bank,KERALA,Alappuzha,AMBALAPUZHA,"Sreevalsom Complex East of Kachery Junction Ambalappuzha, Alappuzha-688561",688561.0,,
Federal Bank,TAMILNADU,Coimbotore,POLLACHI,"No. 46/33-4 , Venkatesa Colony , Kabeer Dhasar Street, Pollachi, Tamilnadu - 642001",642002.0,,
Federal Bank,TAMILNADU,Thanjavur,KUMBAKONAM,"The Federal Bank Ltd, D No. 40, Ramasamy Koil Sannadhi Street, Kumbakonam, Thanjavur District, Tamil Nadu, Thanjavur, Tamilnadu, 612001",612001.0,,
Federal Bank,KARNATAKA,Kodagu,KUSHALNAGAR,"The Federal Bank Ltd Kushalnagar Branch HRS Mansion BM Road , Kushalnagar Kodagu - 571234 Karnataka",571234.0,,
