Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
ICICI HFC,Gujarat,Ahmedabad - SG Highway,None,"2nd Floor, 205, Silver Radiance 2, Near Shakti Arcade, Science City Road, Sola, Ahmedabad, Gujarat-380060",380060,23.0736298,72.5141419
ICICI HFC,Andhra Pradesh,Nellore,None,"1st floor, Unit No. 5, Shridhar's Krishna Towers, D no. 26-15-27, FF 5-6 Iskon City, Nellore City - 524004",524004,14.4230197,79.9794161
ICICI HFC,Madhya Pradesh,Pithampur,None,"ICICI Home Finance, 1st Floor, Indrasan Tower, 12, 13, 14 Sanskar Velly, Sector 1, Mhow Neemuch Road, Pithampur 454775.",454775,22.6008535,75.6868608
ICICI HFC,Maharashtra,Dhule,None,"1st Floor, City Centre, 67, Main Road, Near Jaihind High School, Deopur, Dhule - 424002.",424002,20.9101551,74.7703363
ICICI HFC,Maharashtra,Badlapur,None,"2nd Floor, Siddhivinayak Prasad CHSL, Above Kulswamini Vastradalan,  Bajarpeth, behind Vaishali Talkies, Badlapur West, Sarvodaynagar, Manjarli, Badlapur, Maharashtra - 421503",421503,19.1679062,73.2394751
ICICI HFC,Rajasthan,Pali,None,"1st floor, 294, Mehar Plaza, Plot No. 1,2,15 & 16, Veer Durgadas Nagar, Pali, Rajasthan 306401",306401,25.7743185,73.3332849
ICICI HFC,Uttarakhand,Kashipur,None,"1st Floor, Spectrum, Cheema Chauraha,
Ramnagar road , Kashipur -244713",244713,29.2141896,78.9632376
ICICI HFC,Madhya Pradesh,Gwalior,None,"1st floor, The Empire, Office no.-F-05, 33-City Centre, Ward no. 30, Near Income Tax Building, Opposite Madhav Rao Scindia Park, Gwalior (Mp) 474011",474011,26.2208223,78.2077368
ICICI HFC,Andhra Pradesh,Tirupati,None,"Door no. 23-8-156/A, 1st floor, R. R. Enclave, New Balaji Colony, A.I.R. Bypass Road, Above ICICI Bank, Tirupati - 517502",517502,13.6221638,79.4110621
ICICI HFC,Odisha,Bhubaneswar,None,"96, Janpath, 2nd floor, Kharavela Nagar, Bhubneswar-751001",751001,20.270337,85.8418873
ICICI HFC,Haryana,Ambala,None,"Shanti Complex, 1st floor, Building No. 4307/12-14, Jagadhari Road, Opposite Civil Hospital, Ambala Cantt – 133001",133001,30.3416636,76.8452733
ICICI HFC,Telangana,Warangal,None,"Sarayu Plaza, Shop No.2-10-874/2/C, 1st floor, Waddepally Village, Subedari, Bank Colony, Hanamkonda, Warangal, Telangana - 506001",506001,17.9929061,79.5353267
ICICI HFC,Maharashtra,Kolhapur,None,"Ground Floor, Vasant Plaza, Bagal Chowk, Rajaram Road, Rajarampuri, Kolhapur – 416008",416008,16.6983081,74.2400238
ICICI HFC,Rajasthan,Jodhpur,None,"1st floor, Hope Tower, Office No.-683 B, Sardarpura 9Th C-D Road, Jodhpur - 342003",342003,26.2772956,73.0120245
ICICI HFC,Maharashtra,Kharadi,None,"Office No. 201, 2nd Floor, Khurana Icon,
Mundhwa Kharadi Road, Kharadi, Pune
– 411014",411014,18.5569114,73.9376283
ICICI HFC,Uttarakhand,Dehradun-South,None,"2nd Floor, Naman Complex, Opposite Vishal Mega Mart, Haridwar Road, Dehradun -248001",248001,30.2886377,78.0634803
ICICI HFC,Tamil Nadu,Nagercoil,None,"No. 75A, 1st Floor, Arunodhayam Complex, Watertank road, Nagercoil - 629001",629001,8.1813193,77.4241851
ICICI HFC,Chhattisgarh,Bilaspur,None,"1st floor, Indira Tower, A-26, Zone II, Main Road Vyapar Vihar Bilaspur (C.G.) 495001",495001,22.0652295,82.1510556
ICICI HFC,Punjab,Patiala,None,"1st Floor, JTS Estate, Showroom No. 3, Bhupindra Road, Patiala - 147001",147001,30.3370168,76.3833595
ICICI HFC,Maharashtra,Nashik - Panchvati,None,"2nd Floor, Office no. 203, Asmita Business Center, Opp. PanchvatI Bus Depo, Old Mumbai Agra Highway, Old Adgaon Naka, Panchvati, Nashik - 422003",422003,22.9004368,75.9756433
ICICI HFC,Maharashtra,Panvel,None,"2nd Floor, Office 204, Junction 406, Plot no.406/1B, Takka Road, Panvel West 410206",410206,18.9806521,73.1182355
ICICI HFC,Delhi,Central Delhi - Karol Bagh,None,"1st floor, XVI / 10200, 13/30 Beadon Pura, Padam Singh Road, Karol Bagh, Delhi-110005.",110005,28.6488606,77.1930159
ICICI HFC,Uttarakhand,Rudrapur,None,"Plot no. 16/1 & 17/1, Ward no. 13, Shop no. 9, 2nd Floor, SGAD Complex, Nainital Road, Rudrapur – 263153.",263153,28.9545824,79.3966487
ICICI HFC,Gujarat,Chandkheda,None,"210, Shukan Mall, Near Vishat Petrol Pump, Chandkheda, Sabarmati, Ahmedabad -  380005",380005,23.0987954,72.5900314
ICICI HFC,Rajasthan,Udaipur,None,"Ground floor, Plot No. 10, Durga Nursery Road, Udaipur- 313001",313001,24.5848177,73.7095388
ICICI HFC,Punjab,Ludhiana,None,"1st floor, SCO-146-147, Feroze Gandhi Market, Ludhiana -141001",141001,30.900847,75.8324454
ICICI HFC,Andhra Pradesh,Vijayawada,None,"54-20-1B, Unit No. 4, Third Floor, Surya Prakash Square, Gurunanak Colony , Revenue Ward No. 2, Vijayawada, Andra Pradesh - 520007",520007,16.5048465,80.6624697
ICICI HFC,Telangana,Hyderabad – Kompally,None,"Atharv Pride, 4th Floor, Plot No 5, near Trends Showroom, Devender Colony, Kompally, Hyderabad, Telangana 500100",500100,17.546077,78.4879809
ICICI HFC,West Bengal,Kolkata - AJC Bose Road,None,"8/1A, 2nd floor, Sir William Jones Sarani (Formerly 8/1, Middleton Row), Kolkata – 700071",700071,22.5513347,88.3524615
ICICI HFC,Rajasthan,Ajmer,None,"Jaya Plaza, Plot No. 378, 1st Floor, Makadwali Road, Keshav Nagar, Vaishali Nagar, Ajmer, Rajasthan, 305001",305001,26.4893323,74.6296593
ICICI HFC,Madhya Pradesh,Satna,None,"1st floor, Ekta Tower, Above ICICI Bank, Rewa road, Satna-485001",485001,24.5733927,80.8392061
ICICI HFC,Uttarakhand,Central Dehradun,None,"First Floor, Khasra no. 110/1 & 110/2 Mauza Kanwali, R.D Tower, GMS Road, , Pargana Central Doon, Dehradun – 248001.",248001,30.311769,78.006695
ICICI HFC,Gujarat,Ahmedabad - West,None,"402 to 404, 4th Floor, 323 Corporate Park, Near Girish Cold Drinks Cross Road, Navrangpura, Ahmedabad – 380009.",380009,23.0328767,72.5590618
ICICI HFC,Tamil Nadu,Erode,None,"Krishna Towers, First Floor, No-370/2a, Perundurai Road, Near Ambal auto, Erode-638011",638011,11.3323812,77.7018947
ICICI HFC,Chhattisgarh,Raipur - Bhatagaon,None,"First Floor, 05-06, Forum Business Center, Near, NH 46, Bhatagaon, Raipur,  492001",492001,21.2189421,81.6207542
ICICI HFC,Karnataka,Hubli,None,"2nd floor, R.D Baddi Mansion, Above Kotak Bank, Dharwad Hubli 123, D Club Road, Hubballi – 580029",580029,15.353499,75.1408145
ICICI HFC,Tamil Nadu,Vellore,None,"1st floor, Plot No. 8/3, Municiple Colony Sathya Mansion, Kazhinjur Village, Kangayanallur Road, Gandhinagar Katoadi, Vellore-632006",632006,12.947237,79.137381
ICICI HFC,Haryana,Yamunanagar,None,"SCO No -121, Sector 17, 1st floor, Commercial Belt, Jagadhari Road, Yamuna Nagar – 135003",135003,30.1548138,77.3051479
