Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
IKF Finance,Gujarat,AHMEDABAD,AHMEDABAD,"Unit No 315, 316, 317, Sun West Bank, B Block, Vallabh Sadan River Front Road, Ashram Road, Ahmedabad, Gujarat - 380009",380009,,
IKF Finance,Karnataka,MYSORE,MYSORE,"#40 , 1St Floor , 3Rd Stage, D. Devaraj Urs Road , Next To Anjaneya Temple Mysore-570001",570001,,
IKF Finance,Telangana,HYDERABAD,ECIL,"Plot Number 11,  Sriram Nagar Agarwal Super Market,   Radhika Theater Back Side Ecil, Hyderabad   Pin Code -500062",500062,,
IKF Finance,Maharashtra,SATARA,SATARA,"S.No.509/B/1/2, Office No 2, Ground Floor, Generation Building Shaha Complex , Sadar Bazar, Satara 415002",415002,,
IKF Finance,Tamil Nadu,TIRUPPUR,TIRUPPUR,"496/384 B, Kamaraj Rd, Opposite Palladam Main Road, Kattuvalavu, Tirupur",,,
IKF Finance,Andhra Pradesh,MADANAPALLE,MADANAPALLE,"Ikf Finance Ltd, 199, Byepass Road, Chandrakanthi Nagar, Madurai - 625016",625016,,
IKF Finance,Gujarat,JUNAGADH,JUNAGADH,"Indralok Arcade ,1St Floor,Office No-110 & 111 ,Jayshree Cinema Road , Near Talav Darwaja,Junagadh-362001",362001,,
IKF Finance,Maharashtra,AHMEDNAGAR,AHMEDNAGAR,"2nd Floor, Mauli Sankul, Manmad Road, Savedi, Maharashtra, Ahmednagar - 414001",414001,,
IKF Finance,Rajasthan,AJMER,AJMER,"2nd Floor, Krishna Tower, Near Navajeevan Hospital, Adarsh Nagar, Busstand,Ajmer, Rajastan-305001",305001,,
IKF Finance,Rajasthan,JAIPUR,JAIPUR-MSME,"Ikf Finance Limited,  Office No 330, 3Rd Floor, Ganapati Plaza, Mi Road, Jaipur - Rajastan - 302001",302001,,
IKF Finance,Maharashtra,SHRIRAMPUR,SHRIRAMPUR,"Ikf Finance Limited,  1St Floor,  T M Sonar Complex, Kalaram Mandir Road, War No 7, Shrirampur, Ahmednagar, Maharastra - 413709",413709,,
IKF Finance,Telangana,MAHABOOB NAGAR,MAHABOOB NAGAR,"Ikf Finance Limited,H.No. 10-4-10/A & 10-4-10/B/A, Yenugonda, Mahabubnagar, Telangana - 509001",509001,,
IKF Finance,Maharashtra,AURANGABAD,AURANGABAD,"F-7, Opp Atithi Hotel, Rana Nagar, Kuber Avenue Plaza, Jalna Road
Aurangabad- 431001",431001,,
IKF Finance,Tamil Nadu,KARAIKUDI,KARAIKUDI,"No: 3/1026 H, Cmd Tower, Old Housing Board Bustop, Near Kalanivasl, Tirchy Bypass Raod, Sivagangai, Karaikudi - 630001",630001,,
IKF Finance,Karnataka,BANGALORE,K R PURAM,"No 5M, 408/8, K No 309, 1St Floor, East Of Ngef, Vijinapura, Kr Pura, Bangalore 560036.",560036,,
IKF Finance,Andhra Pradesh,ANAKAPALLI,ANAKAPALLI,"H No.  14-21-13/1,  Laxminarayana Nagar, Ring Road , Ring Road Anakapalli – Andhra Pradesh -  531001",531001,,
IKF Finance,Karnataka,GADAG,GADAG,"Ikf Finance Limited, Desai Complex, 1St Floor, Dattatraya Raod, Opp One Number Givt School, Near Old Bsnl Office, Gadag, Karnataka -  582103",582103,,
IKF Finance,Rajasthan,UDAIPUR,UDAIPUR,"43/6, ICON Tower, Near ICICI Bank, Madhuban, Udaipur",,,
IKF Finance,Maharashtra,DHULE,DHULE,"Cts No. 1494, Plot No. A-4, Navjeevan Nagar, Chitod Road, Fashipool Chowk, Dhule - 424001",424001,,
IKF Finance,Madhya Pradesh,RATLAM,RATLAM,"Reliable Trade Centre,Cabin No : 208, 2Nd Floor, Station Road, Above Corporation Bank
Ratlam - 457001.",457001,,
IKF Finance,Maharashtra,PANDHARPUR,PANDHARPUR,"Singan Empire ,2Nd Floor, Nagaland Chowk, Link Road ,Singan Nagar Pandhapur Maharashtra -413304",413304,,
IKF Finance,Rajasthan,BARMER,BARMER,"Opp Thar Hospital Siyag Market,  Shastri Nagar,  Barmer, Rajasthan - 344001",344001,,
IKF Finance,Tamil Nadu,KUMBAKONAM,KUMBAKONAM,"Saravana Towers,Dr Besant Road,2 Nd Floor,Ward No-1,Opp To Vijayalakshmi Theatre,Kumbakonam-6120001",,,
IKF Finance,Gujarat,SURENDRA NAGAR,SURENDRA NAGAR,"245, 2Nd Floor, Mega Mall, Near Milan Cinema, Station Road, Surendranagar -363001",363001,,
IKF Finance,Andhra Pradesh,KADAPA,PRODDATUR,"D No: 7//273, First Floor Holmes Peta, Opp : Bank Of Baroda,Proddatur-516360",516360,,
IKF Finance,Telangana,BANSWADA,BANSWADA,"H.No. 1-1-12/6, Ambedkar Chowrasta, Banswada, Nizamabad (Dist), Telangana-503187",503187,,
