Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
IndusInd Bank,Haryana,Gurgaon,"Sec. 14, Gurgaon","S.C.O. No. 7, Sector 14, Gurgaon - 122 001, Haryana, Haryana",,28.47297,77.04827
IndusInd Bank,MAHARASHTRA,Parbhani,Parbhani,"INDUSIND BANK LTD.,GROUND FLOOR, MADHUR BHOJ, PLOT NO. 8, CTS NO. 306, YELDARKAR COLONY, BASMAT ROAD, PARBHANI, MAHARASHTRA -431401",431401,19.253836,76.792006
IndusInd Bank,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Dadra,"Ground Floor, Shop No 4 Ras Avenue Survey No. 11/2/2/2 & 11/3/1 Opp. Le Royal Hotel, Near Dadra Garden, Vapi- Silvassa Road, Dadra- 396 193 ( U.t Of Dadra & Nagar Haveli)",,20.314058,72.967811
IndusInd Bank,Rajasthan,Jaipur,"Raja Park, Jaipur","B -10, Govind Marg, Raja Park, Jaipur - 302004, Rajasthan, Rajasthan",302004,26.89777,75.8243
IndusInd Bank,Rajasthan,Pali,Sumerpur,"Opposite Main Post Office, Jawai Bandh Road, Sumerpur - 306902, Rajasthan",306902,25.14947,73.08318
IndusInd Bank,WEST BENGAL,Paschim Bardhaman,Ranigunj,"Ground Floor, Shyamala,New, 14,N.S.B Road (WEST), Sishu Bagan More,  PO & PS-Ranigunj, District Bardhaman West Bengal Pincode 713347",713347,23.621888,87.112272
IndusInd Bank,Haryana,Rewari,Rewari,"Basement & Ground Floor, SCO No. 2, Brass Market, Opp. LIC Bldg, Rewari, Haryana 123 401, Haryana",,28.192536,76.624027
IndusInd Bank,Rajasthan,Jaipur,"Shyam Nagar, Jaipur","Upper Ground Floor, OKAY PLUS DP METRO,UG-3 &4, Plot No 5&6, DP Colony,New Sanganer Road, Shyam Nagar,Jaipur 302019, Rajasthan",302019,26.92288,75.78867
IndusInd Bank,Bihar,Bhojpur,Arrah Bihar,"GROUND  FLOOR, HOLDING NO.502, KARMAN TOLA, STATION ROAD, WARD -20, NEAR SHIV NARAYAN LAL PETROL PUMP, ARRAH, BHOJPUR, BIHAR 802301",802301,25.55838,84.668509
IndusInd Bank,Punjab,Ludhiana,DANGIAN,"Ground Floor, Village- Main Road, Dangian, Tehsil- Jagraon, District- Ludhiana, Punjab- 142035, Punjab",142035,30.736655,75.384179
IndusInd Bank,MAHARASHTRA,Nashik,"Dwarka , Nashik","GROUND AND MEZZANINE FLOOR,SHOP NO 9, SHREEJAY   SHANKAR TOWER,CTS NO 449, TAKLIROAD,DWARKA,NASHIK - 422011 MAHARASHTRA",422011,19.993495,73.809176
IndusInd Bank,Jammu & Kashmir,Pulwama,Pulwama J&K,"Ground & First Floor, Sana Complex, Muran Chowk, Pulwama, UT of Jammu & Kashmir 192301",192301,34.08314,74.797673
IndusInd Bank,Uttar Pradesh,Gautam Buddha Nagar,Jewar,"Ground Floor, Shop No.2, Khurja Road, Jewar, District Gautam Buddha Nagar, Uttar Pradesh, Pin code 203135",203135,28.358363,77.548286
IndusInd Bank,Maharashtra,Kolhapur,Basarge,"Ground Floor,Sainik Bhavan,Village Basarge,Tehsil Gadhingalaj,Dist Kolhapur,Maharashtra, Maharashtra",,16.18738,74.45943
IndusInd Bank,NCT of Delhi,West Delhi,"Janakpuri Block B, New Delhi","Ground Floor, Property bearing No. 517-C, in Block B-1, Pankha Road Residential Scheme, situated at Janakpuri, New Delhi 110058",110058,28.631362,77.083211
IndusInd Bank,West Bengal,Howrah,Howrah,"South Nibra,N.H-6, Near Ankurhati Check Post, Terex Building,2nd Floor,Howrah",,22.606225,88.250761
IndusInd Bank,Karnataka,Udupi,Udupi,"Ground Floor (UGF) & Mezzanine floor, Shop No. G-4, Mandavi Trade Centre, Udupi – Manipal Road, Kadyali, Udupi-576102, Karnataka",576102,13.3466154,74.7580539
IndusInd Bank,Madhya Pradesh,Shajapur,Shujalpur,"Ashra Place, Ground Floor, Near Choubey School, Shujalpur - 465 333, Madhya Pradesh",,23.39384,76.71083
IndusInd Bank,GUJARAT,Vapi,Chala Vapi,"GROUND FLOOR, SHOP NO. 14 AND 15, TIMES SQUARE, CTS NO 340/B, VAPI DAMAN ROAD, CHALA, VAPI, VALSAD, GUJARAT 396191",396191,20.389179,72.899761
IndusInd Bank,GUJARAT,Deesa,Deesa,"GROUND FLOOR NO 54, RAMA BUSINESS HUB, NR ANAND HOTEL, OPP. DANTIVADA COLLONY , DEESA - 385535 GUJRAT",385535,24.256179,72.191399
IndusInd Bank,Kerala,Kollam,Specialised Br Bharanikavu,"1st Floor, CMS Tower, No. 11/1127, Bharanikkavu, Sasthamkotta, Kollam, Kerala 690521",690521,9.143039,76.6254542
IndusInd Bank,NCT of Delhi,South Delhi,"Kalkaji, Delhi","Ground and Basement Floor, 19/5, Kalkaji, Main CR Park Road, New Delhi-110 019,  New Delhi",,28.539843,77.252178
