Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
,MAHARASHTRA,OSMANABAD,LOHARA,"Jana Small Finance Bank Ltd., Shop no 1-3, Ground Floor, Gore Complex ,At post Lohara,Tq-Lohara,Dist-Osmanabad-413608",413608,,
,JHARKHAND,RAMGARH,RAMGARH,"JANA SMALL FINANCE BANK, 1st Floor,BESIDE JAIN PETROL PUMP & ICICI BANK, NEAR THANA CHOWK, RAMGARH CANTT. JHARKHAND-829122",829122,,
,TAMIL NADU,TIRUPPUR,PALLADAM,"Jana Small Finance Bank, 103/B,New Extension Street,Palladam-641664",641664,,
,TAMIL NADU,SALEM,SHIVATHAPURAM,"Jana Small Finance Bank Ltd.,  No. 50/1, 2nd Floor, Nelson Towers, Opp-Windsor Castle Hotel, Rajaji Road, Salem-636007.",636007,,
,WEST BENGAL,PURBA MEDINIPUR,BRAJALAL CHAK,"Jana Small Finance Bank Ltd.,Vill &PO-CHAKDWIPA, PS-BHABANIPUR, DIST-PURBA MEDINIPUR,WB-721645",721645,,
,ODISHA,BALANGIR,LATHOR,"Jana Small Finance Bank Ltd., LATHOR PS-LATHOR,KHAPRAKHOL,BALANGIR,ODISHA-767038",767038,,
,HARYANA,PANIPAT,PANIPAT,"Jana Small Finance Bank Ltd., GF & 1st floors, HUDA, Sector - 12, SCO -06, Near Mother Therasa Market, Panitpat - 132103, Haryana",132103,,
,WEST BENGAL,KOLKATA,SODEPUR,"Jana Small Finance Bank Ltd., Janani Apartment, 27 P.N. Chatterjee Road,Amrabati More, Sodepur, Kolkata - 700110, Land Mark- Beside Kalyan Samity Club",700110,,
,WEST BENGAL,DARJILING,SILIGURI,"Jana Small Finance Bank Ltd., Plot No.3042, Ward No-08, 1st Flr, Tripura Lodge Building, S.F.Road (Above Canara Bank) P.S.Siliguri,Darjiling,West Bengal,734405",734405,,
,CHHATTISGARH,GARIYABAND,KIRWAI,"Jana Small Finance Bank Ltd.,S/o: Mehattar ram Nishad, 55, Sarkada, Fingeshwar, sarkada, Gariyaband, Sorid, Chhattisgarh, 493992",493992,,
,TAMIL NADU,COIMBATORE,RAMNAGAR,"Jana Small Finance Bank Ltd, Ground floor, No. 117, Shasthri Road, Ram Nagar, Coimbatore.",,,
,TAMIL NADU,TIRUCHIRAPALLI,KK NAGAR,"Jana Small Finance Bank Ltd, 1St Floor, Door No.110, Plot No.369 , Vasantham Arcade, Rajaram Salai , K K Nagar -620021,India",620021,,
,UTTAR PRADESH,MAHARAJGANJ,PATRA BAZAR (BASAHIA BUZURG),"Jana Small Finance Bank Ltd., Pipraich road, Patra Bajar, Gorakhpur",,,
,HARYANA,PANCHKULA,PANCHKULA,"Jana Small Finance Bank Ltd., SCO- 22, Sector – 11, Panchkula,  Haryana  134109",134109,,
,ODISHA,GANJAM,DHUMUCHAI,"Jana Small Finance Bank Ltd., Gram Panchayat Office Dhumchai,Po-Dhumchai,Dist -Ganjam, State- Odisha -761140",761140,,
,GUJARAT,KHEDA,NADIAD,"Jana Small Finance Bank, Shop No 101 Gravity complex, Beside AU Small Finance Bank, College Road, Near Canal, Nadiad-387001",387001,,
,TAMIL NADU,CHENNAI,MANDAVELI - R K MUTT ROAD,"Jana Small Finance Bank Ltd, No 179/86 1st floor RK mutt road Mandaveli chennai 600028",600028,,
,MADHYA PRADESH,RATLAM,RATLAM,"Jana Small Finance Bank Ltd, Upper Ground Floor, Ratlam Plaza, Shop No. 16/45, Situated New Road, Ratlam (MP), 457001",457001,,
,UTTAR PRADESH,NOIDA,NOIDA SECTOR-18,"Jana Small Finance Bank Ltd., Ground Floor, Shop No. N-5, Sector 18, Noida, Gautam Buddh Nagar U.P. 201301",201301,,
,ODISHA,KHURDA,NAYAPALLI,"Jana Small Finance Bank Ltd., 1st Floor, Plot No-N1-292,  IRC Village - Nayapalli, Dist-Khurdha, Near Swapneswar Temple, Bhubaneshwar, Odisha 751012",751012,,
,RAJASTHAN,KOTA,KOTA,"Jana Small Finance Bank Ltd, Ground floor, Plot No. 389 , Shopping Centre, Nr. Bata Showrooom, Ghode Wala Baba Circle, Kota -324007 Rajasthan (India)",324007,,
,TAMIL NADU,CHENNAI,VELACHERY,"Jana Small Finance Bank Ltd, Ground floor, Plot No. 354,Gothavari Street, Bharathi Nagar, Tharamani Link Road, Chennai -600113,India",600113,,
,CHHATTISGARH,KORBA,KORBA,"Jana Small Finance Bank , Gaurav Commercial Complex, plot No-17, Beside ICICI Bank, Transport Nagar, Korba Chhattishgarh – 495677",495677,,
,MADHYA PRADESH,UJJAIN,UJJAIN 2,"Jana Small Finance Bank, 1st Floor, #7, Mohan Nagar, Agra Road,Ujjain,Madhya Pradesh,456001",456001,,
,JHARKHAND,PURBI SINGHBHUM,JAMSHEDPUR,"Jana Small Finance Bank Ltd,  Ground Floor, Swamy Building , Bistupur Main Road, Opp Ram Mandir, Next to Hero Showroom ,Jamshedpur -831001,India",831001,,
,ASSAM,KAMRUP METROPOLITAN,"G.S. Road, Dispur","Jana Small Finance Bank Ltd, 1st Floor, Arunodai Path, Christian Basti, G.S Road, Guwahati - 781007 India",781007,,
,GUJARAT,RAJKOT,BHAKTINAGAR,"Jana Small Finance Bank, Shop No. 113 to 116, Lotus Arcade,
Bhaktinagar Station Plot, Opp. Satyavijay Ice cream,
Gondal Road,
Rajkot, PIN - 360002",360002,,
,DELHI,WEST DELHI,UTTAM NAGAR,"Jana Small Finance Bank Ltd., C-3, 1st Floor, Milap Nagar, Uttam Nagar East, New Delhi – 110059, India",110059,,
,JHARKHAND,RANCHI,RANCHI,"Jana Small Finance Bank Ltd , 1st Floor, Office No. 101 & 102, TARA BHAWAN, Misir Gonda Village, Thana Gonda, Kanke Road ,Ranchi, Jharkhand -834008,India",834008,,
,WEST BENGAL,NORTH 24 PARGANAS,BADURIA,"Jana Small Finance Bank, 1st floor, MADINA MARKET BUILDING, Badhuria Chowmata, Near SBI, P.O & P.S Baduria,North 24 Parganas,West Bengal,743401",743401,,
,RAJASTHAN,NAGAUR,MANU,"Jana Small Finance Bank Ltd., DRB Emitra Service,Village & Post - Gugriyali, Near Thakurji Temple ,Jayal, Nagaur341023",,,
,ODISHA,CUTTACK,BADABHUIN,"Jana Small Finance Bank, Badabhuin Gram Panchayat, Po- Narsinghpur, PS/Block- Narsinghpur, Dist- Cuttack-754032",754032,,
,ODISHA,SAMBALPUR,SAMBALPUR,Jana Small Finance Bank Ltd Ground Floor Quality Mansion Nayapada  Golbazzar Sambalpur  768001,768001,,
,TAMIL NADU,CHENNAI,PERAMBUR,"Jana Small Finance Bank, No 24 Kennedy square  3rd street, Pallavan salai ,Perambur Chennai -600011",600011,,
,MADHYA PRADESH,REWA,RAGHUNATH GANJ,"Jana Small Finance Bank Ltd., Gram Tikura Post Raghunathganj Tahsil Mangwan, Mauganj, Rewa, Raghunathganj, Madhya Pradesh, 486338",486338,,
,MAHARASHTRA,THANE,VASHI,"Jana Small Finance Bank Limited, Apsara Building, Shop No. 10,11 & 104, Opp Arenja Corner, Sector 17, Vashi, Navi Mumbai-400703",400703,,
