Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
Sammaan Capital,Gujarat,Jamnagar,Jamnagar(Shreeji_Imperia_Dst),"Shreeji Imperia,1St Floor, Park Colony Main Road - 361001",361001,,
Sammaan Capital,Haryana,Bhiwani,Bhiwani(Crown_Plaza),"Shop No.301,Ist Floor,Crown Plaza,Sector Urban Estate,Circular Road, - 127021",127021,,
Sammaan Capital,Uttar Pradesh,Mathura,Mathura(Radhika_Vihar),"Ground Floor,Part Of B-15, Radhika Vihar Phase-2, Near Highway Plaza - 281001",281001,,
Sammaan Capital,Maharashtra,Nashik,Nashik(Gangapur_Road),"Office No.500-501,5Th Floor, Survey No.715/A/4/2, Plot No.5,Shree Ganesh Kuber, - 422005",422005,,
Sammaan Capital,Telangana,Nizambad,Nizambad(Kanteshwar),"Trade,Kanteshwer 1St Floor,Sri Sai Traders,Beside Indur - 503002",503002,,
Sammaan Capital,Gujarat,Ahmedabad,Ellisbridge_Radhika House_1St Floor,1St Floor Radhika Opp. Mayor'S Bungalow Law Garden Ellisbridge - 380006,380006,,
Sammaan Capital,Gujarat,Gujarat,Gandhinagar(White_House),"304,3Rd Floor,White House,Sector 11 - 382010",382010,,
Sammaan Capital,Madhya Pradesh,"Pithampur,dhar",Pithampur(Sudarshan_Complex),"Dugf-44,First Floor,Sudarshan Complex, Mhow-Neemuch Road, - 454775",454775,,
Sammaan Capital,Rajasthan,Jaipur,Jaipur(Shahpura),"Ground Floor, Palsaniya Paradise, Nh 8,Shahpura, - 303103",303103,,
Sammaan Capital,Rajasthan,Jaipur,Jaipur(Ashok_Marg_1St_Floor),"First Floor, Ashok Marg, C-Scheme - 302001",302001,,
Sammaan Capital,Pondicherry,Pondycherry,Pondicherry(Laxmi_Towers),"Kamraj Salai Thattanchavady, No: 72,Lakshmi Towers, - 605009",605009,,
Sammaan Capital,Uttar Pradesh,Raebareilly,Raebareilly(Shri_Vinayak_Complex),"Shri Vinayak Complex,2Nd Floor,Commercial Plot No 2 Firoz Gandhi Nagar Vyosayik Yojna Civil Lines,Raebareilly - 229001",229001,,
Sammaan Capital,Madhya Pradesh,Satna,Satna(Tiwari_Tower),"Shop No. 103, Situated At 2Nd Floor, Above Axis Bank Tiwari Tower, Reva Raod, - 485001",485001,,
Sammaan Capital,Telangana,Hyderabad,Hyderabad(Uppal),"Survey No.590/Aa,2Nd Floor, Saraswathi Colony, Uppal Main Rd, Uppal Kalan Village, - 500039",500039,,
Sammaan Capital,Karnataka,Hubli,Kalburgi Noolvi Avenue,"1St Floor, Cts No. 122/151 A, Ward Iii, Kalburgi Noolvi Avenue, New Cotton Market, - 580029",580029,,
Sammaan Capital,Gujarat,Rajkot,Rajkot(Nanamava),"Shop No. 105, Ist Floor Of Solitaire Plot No. 196P, T.P. Scheme No. 3, Survey No. 70 P, Village Nanamava - 360005",360005,,
Sammaan Capital,Karnataka,Bengaluru,Bengaluru(R_S_Twr_Electronic_City),"3Rdfloor, R.S Tower, S.No.55, Hosur Main Hebbagodi, Anekal Tq, Electronic City, - 560099",560099,,
