Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
Satya Microhousing,Delhi,None,REGISTERED OFFICE,"Satya Micro Housing Finance Pvt Ltd. DPT-519, DLF Prime Towers, Okhla Phase-1,New Delhi-110020",110020,28.5190256,77.28350879999999
Satya Microhousing,Delhi,None,UTTAM NAGAR,"Satya Micro Housing Finance Pvt Ltd. 1str Flor, Plot No.-1 Metro Pillar No. 800 Uttam Nagar West Delhi, Delhi Pin-110059",110059,28.6240554,77.0622583
Satya Microhousing,Uttar Pradesh,None,CORPORATE OFFICE,"Satya Micro Housing Finance Pvt Ltd 7th Floor, Prius Heights, 10/11, Sector -125, Noida-201306",201306,28.5411991,77.3263794
Satya Microhousing,Uttar Pradesh,None,HAPUR,"Satya Micro Housing Finance Pvt Ltd 7-Sky Building, 2nd Floor, Oppsite Manohar Regency, Above HDFC Bank, Garh Road, Hapur, U.P.-245101",245101,28.72726819999999,77.8027309
Satya Microhousing,Uttar Pradesh,None,MEERUT,"Satya Micro Housing Finance Pvt Ltd. Ground Floor RS Corporate House A, Built on Plot No 229, at scheme No 1, Mangal Pandey Nagar Meerut UP - 250004",250004,28.966335,77.73730599999999
Satya Microhousing,Uttar Pradesh,None,MATHURA,"Satya Micro Housing Finance Pvt Ltd. Shop No.11, 2nd floor Moti Manzil Mathura Pin-281001",281001,27.4924134,77.673673
Satya Microhousing,Rajasthan,None,JAIPUR,"Satya Micro Housing Finance Pvt Ltd. Plot No. 9, First Floor, F4 Baba Tower, Baba Market, DCM, Ajmer Road, Jaipur-302019",302019,26.8945121,75.7486612
Satya Microhousing,Rajasthan,None,KISHANGARH,"Satya Micro Housing Finance Pvt Ltd. 1 Floor, Laxmi Narayan Bihar, Gate No. 7, Opp. Central Bank, Ajmer Road, Madanganj, Kishangarh, Rajasthan-305801",305801,26.5828954,74.8479869
Satya Microhousing,Rajasthan,None,SIKAR,"Satya Micro Housing Finance Pvt Ltd. 2ndfloor, Near Kia Showroom, Beside New India insurance, Jaipur Road Sikar-332001",332001,27.5966907,75.1622143
Satya Microhousing,Rajasthan,None,BEAWAR,"Satya Micro Housing Finance Pvt Ltd 3rdFloor, Shree Anand Tower, Khasra No 179, Moza Naya Nagar, Ajmer Road, Beawar Rajasthan – 305901",305901,26.104585,74.31990379999999
Satya Microhousing,UTTAR PRADESH,None,NOIDA,"Satya Micro Housing Finance Pvt Ltd. First Floor, Logix Infotech Park, D-5,Near Sector-59 Metro Station, Noida, Uttar Pradesh 201301",201301,28.6080993,77.3722512
Satya Microhousing,UTTAR PRADESH,None,AGRA,Satya Micro Housing Finance Pvt Ltd. 2nd Floor Shop Number 3 Friends Tower  Block No 41B Sanjay Palace Agra Uttar Pradesh-282002,282002,27.1980978,78.0052173
Satya Microhousing,UTTAR PRADESH,None,ALIGARH,"Satya Micro Housing Finance Pvt. Ltd. C/o Satya MicroCapital Ltd., 1st Floor, 486 Lohiya Nagar, Koil, Aligarh, UP-202001",202001,27.9079413,78.07660360000001
Satya Microhousing,UTTAR PRADESH,None,BULANDSHAHAR,"Satya Micro Housing Finance Pvt. Ltd. C/o Satya MicroCapital Ltd. No.- Shop No. – 12 A, 3rd Floor, MMR Mall, Yamuna Puram, Bulandshahr (UP) 203001",203001,28.4045731,77.82857489999999
Satya Microhousing,UTTAR PRADESH,None,MORADABAD,"Satya Micro Housing Finance Pvt. Ltd. C/o Satya MicroCapital Ltd.,A.G Complex, Plot No – 6A, 2nd Floor, Buddhi Vihar, Opposite Arambh Dairy, Moradabad, - 244001.",244001,28.8320769,78.7221251
Satya Microhousing,UTTAR PRAADESH,None,LUCKNOW,"Satya Micro Housing Finance Pvt Ltd. MAA KRIPA TOWER, GROUND FLOOR, MIG-12 SHEKHUPURA COLONY,VIKAS NAGAR,LUCKNOW-226022",226022,26.8927349,80.9556571
Satya Microhousing,UTTAR PRADESH,None,KANPUR,"Satya Micro Housing Finance Pvt. Ltd. Office No.-722, 7th floor, 63/2C, Mega Mall, Mall Road, Narona Crossing, Canal Potri, Kanpur, Uttar Pradesh, 208001",208001,26.4738003,80.3470865
Satya Microhousing,UTTAR PRADESH,None,AYODHYA,"Satya Micro Housing Finance Pvt. Ltd. C/o Satya MicroCapital Ltd. Ground Floor, H/n 5/17/214 A,  Devkali, Near Badi Devkali Mandir Beniganj, Ayodhya Uttar Pradesh 224001",224001,26.7719586,82.1660619
Satya Microhousing,UTTAR PRADESH,None,HARDOI,"Satya Micro Housing Finance Pvt Ltd 2nd Floor Opposite S P Office, Near United Public School Hardoi, 241001",241001,27.4042271,80.12676309999999
Satya Microhousing,UTTAR PRADESH,None,PRAYAGRAJ,"Satya Micro Housing Finance Pvt. Ltd. C/o Satya MicroCapital Ltd. First Floor, House No. - 10  Near Meena Bazar Building, Civil Lines, Prayagraj Uttar Pradesh-211001",211001,25.4529334,81.8348882
Satya Microhousing,UTTAR PRADESH,None,AMBEDKAR NAGAR,"Satya Micro Housing Finance Pvt. Ltd. 1st Floor, Shahzadpur, Akbarpur, Dist- Ambedakar Nagar-224122",224122,26.4216032,82.53819870000001
Satya Microhousing,UTTAR PRADESH,None,VARANASI,"Satya Micro Housing Finance Pvt. Ltd. C/o Satya MicroCapital Ltd. 3rd Floor Plot no. SA 4/73 B ,KH ,Pandeypur Paharia Road, Varanasi Uttar Pradesh-221007",221007,25.3549944,83.0026222
Satya Microhousing,UTTAR PRADESH,None,JAUNPUR,"Satya Micro Housing Finance Pvt. Ltd. C/o Satya MicroCapital Ltd. House No. 329, II nd floor, Wazidpur Jaunpur-222002",222002,25.7290722,82.6820956
Satya Microhousing,UTTAR PRADESH,None,GORAKHPUR,Satya Micro Housing Finance Pvt. Ltd. C/o Satya MicroCapital Ltd. 1st Floor Near Patanjali Store V Colony Medical Collage Road Khariya Pokhara Basaratpur Gorakhpur UP - 273004,273004,26.7872909,83.3856204
Satya Microhousing,UTTAR PRADESH,None,BHADOHI,"Satya Micro Housing Finance Pvt.Ltd. UGF,Khasra No.70, RD Complex,GT Road, Near Devi Bhavan, Padaw Gopiganj, Bhadohi, Sant Ravidas Nagar Pin 221303",221303,25.2858561,82.4322347
Satya Microhousing,RAJASTHAN,None,JAITARAN,"Satya Micro Housing Finance Pvt Ltd Ground Floor, Aagewa Road, Foji Chouraha, Near Bright Minds School, Jaitaran, Rajsathan – 306302",306302,26.1554675,73.9190812
Satya Microhousing,BIHAR,None,PATNA,"Satya Micro Housing Finance Pvt Ltd 3rd Floor,Radha Raman Complex,Road No.2,Arya Samaj Mandir Road,near R.P.S More,Danapur,Patna-801503.",801503,25.6231083,85.04916709999999
Satya Microhousing,BIHAR,None,ARRAH,"Satya Micro Housing Finance Pvt. Ltd. Anaith, Ward No.-43, Bhojpur Arrah-802302",802302,25.5467713,84.6675273
