Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
Sewa Bank,MADHYA PRADESH,UJJAIN,None,"Office No. 202, 2nd Floor , Old No. 269, Block No. 36, New No. 27, Amar Singh Marg Freeganj Ujjain (M.P.) 456010",456010,23.176849,75.7904728
Sewa Bank,MADHYA PRADESH,INDORE 1,None,"Shop no. 402 & 403, Fortune Business Center 165, RNT Marg,Chhoti Gwaltoli,Indore, Madhya Pradesh - 452001",452001,22.7150777,75.8736153
Sewa Bank,MADHYA PRADESH,INDORE 2,None,"Office no. 415, 4th floor Pukhraj corporate building, Navlakha Indore – 452001",452001,22.7004752,75.8759188
Sewa Bank,MADHYA PRADESH,INDORE 3,None,"Office no 510, Fifth Floor, Benchmark Business Park,Block No. A3 PU 4 ,SCH No 54, Vijay Nagar,Indore, Madhya Pradesh- 452010",452010,22.7524,75.8873
Sewa Bank,MADHYA PRADESH,Vidisha,None,"1st Floor, Avika Complex, Near Convent School, Ward No. 30,Sherpur Munjapta, Servey No. 327/1/1/2,Vidisha, MP - 464001",464001,23.5220716,77.8159998
Sewa Bank,MADHYA PRADESH,Dhar,None,"1st Floor, Basant Vihar Colony (Nouganv Bujurga Bhawan),Survey No. 1090 Part, Near Dev Hotel, Court Road,Dhar, MP - 454001",454001,22.5980549,75.3039628
Sewa Bank,MADHYA PRADESH,Barwani,None,"2nd Floor, 35/4, Ganga Nagar,Anjar Road,Barwani, MP – 451551",451551,22.0363157,74.903339
Sewa Bank,MADHYA PRADESH,DEWAS,None,"Office No. 101, First Floor, Sai Lila Building, 26, Agroha Nagar,Behind Sheeba Hotel, AB Road, Dewas-455001, Madhya Pradesh",455001,22.9614718,76.045439
Sewa Bank,MADHYA PRADESH,PITHAMPUR,None,"UG -3, 4 and 5, Ground Floor,Samrat Square, Near Syndicate Bank,Pithampur, Madhya Pradesh – 454775",454775,22.610446,75.6773565
Sewa Bank,MADHYA PRADESH,GWALIOR,None,"Second Floor, 943 Patel Nagar,City Centre, Opposite Virender Vihar,Gwalior MP-474011",474011,26.2100101,78.1913541
Sewa Bank,MADHYA PRADESH,RATLAM,None,"Plot No. 11/103, New No. 14/194/25 and 27,1st Floor, Ratlam Mohalla Dot ki pull, Ratlam,Madhya Pradesh - 457001",457001,23.3296963,75.04221439999999
Sewa Bank,MADHYA PRADESH,CHHINDWARA,None,"2nd Floor, RK Tower, khasara No. 110/64, Vishu Nagar, Parasiya Road, Noniya Parval, Chhindawara, Madhya Pradesh – 480001",480001,22.0601026,78.9244391
Sewa Bank,MADHYA PRADESH,MANDSAUR,None,"Office No. 102, 1st floor, Plot No. 190 (West Part), Nayapura Road, Lakkad Pitha, Above Fullerton India, Nearby Maharana Pratap Bus Stand, Mandsaur, Madhya Pradesh – 458002",458002,24.0676144,75.0670813
Sewa Bank,MADHYA PRADESH,KHANDWA,None,"Ground Floor, 329, Babu Ramcharan Vaishya Marg, Padawa, Khandwa, Madhya Pradesh - 450001",450001,21.8246067,76.3419316
Sewa Bank,MADHYA PRADESH,KHARGONE,None,"Ground Floor, 300, Ward No-9, Diverson Road, Near of IDFC Bank, Ravindra Nagar, Khargone, Madhya Pradesh - 451001",451001,21.8316745,75.6194008
Sewa Bank,MADHYA PRADESH,BHOPAL,None,"3rd Floor, Plot No-5 & 6, MP Nagar Zone-1, Near of Railway Line, Bhopal, Madhya Pradesh - 462011",462011,23.2361695,77.4343394
Sewa Bank,RAJASTHAN,JAIPUR 1,None,"2nd Floor, 2O2, plot No 149, Amrapali Marg, Rathore Nagar, Opp-Bata Show room, Jaipur, Rajasthan – 302001",302001,26.911383,75.7490557
Sewa Bank,RAJASTHAN,JAIPUR 2,None,"1st floor, Shop No. 11,12,13 and plot no 66 , Patel Nagar, Govindpura , Kalwar Road , Jhotwara Jaipur, Rajasthan- 302012",302012,26.9515919,75.7017229
Sewa Bank,RAJASTHAN,KOTA,None,"First Floor, 393, Shopping Center, Airodram Circle , Kota, Rajasthan 324001",324001,25.168224,75.851911
Sewa Bank,RAJASTHAN,BHILWARA,None,"1st Floor, Shop No 11-12, Heera Panna Market,Gandhi Nagar, Bhilwara, Rajasthan – 311001.",311001,25.3448281,74.6278513
Sewa Bank,RAJASTHAN,CHITTORGARH,None,"Ratan Palace, 1st floor, Pratap Nagar, Uadaipur Road, Chittorgarh, Rajasthan – 312001",312001,24.8765937,74.6198466
Sewa Bank,RAJASTHAN,BIKANER,None,"Shop No. 1-2, Ground Floor, Yadav Complex, Rani Bazar, Reservation Office Road, Bikaner, Rajasthan -334001",334001,28.0106688,73.3193543
Sewa Bank,RAJASTHAN,BEAWAR,None,"Ground Floor Building no.6/366, Opp Subhash Market Near Ajmeri Gate, Beawar, Rajasthan – 305901",305901,28.6079387,77.313088
Sewa Bank,RAJASTHAN,PALI,None,"1st Floor 9, Basant Vihar ,Opp Bangar College, Marwad, Pali – 306401, Rajasthan",306401,25.7680297,73.3425007
Sewa Bank,RAJASTHAN,BUNDI,None,1 st Floor Kesar Kutir  In Front Of Rajat Grih Gate No 01 Indra Colony  Nainwa Road Bundi  Rajasthan – 323001,323001,25.4395853,75.6606216
Sewa Bank,RAJASTHAN,JHALAWAR,None,"1st Floor, Plot No. 13, New Master Colony, Bus Stand Road, Opp. Chandavati Hotel, Jhalawar, Rajasthan – 326001",326001,24.580059,76.1743889
Sewa Bank,RAJASTHAN,HANUMANGARH,None,"1st Floor, Office No. 176, City Plaza, Chandigarh Hospital Road, B.D Gupta Colony, Hanumangarh, Rajasthan - 335512",335512,29.599053,74.2502405
Sewa Bank,RAJASTHAN,RAJSAMAND,None,"1st Floor, Office No. 3, G.S EMPIRE, Opp. HDFC Bank, 100 Ft. Road, Rajsamand, Rajasthan - 313324",313324,25.0564581,73.8820993
Sewa Bank,RAJASTHAN,BARAN,None,"1st Floor, Plot No. 1, Khasra No-583, Hospital Road, In front of Mahindra Finance, Baran, Rajasthan - 325205",325205,25.103224,76.50297669999999
Sewa Bank,RAJASTHAN,SIKAR,None,"2nd Floor, 210-211, Murli Plaza, Ashok Vihar, Rani Sati Road, Near of bioscope Mall, Sikar, Rajasthan – 332001",332001,27.6011075,75.1472766
Sewa Bank,RAJASTHAN,UDAIPUR,None,"2nd Floor, Office No-1, Commerce Tower, 10 Durga Nursery Road, Opp-Manglam Fun Square, Udaipur, Rajasthan – 313001",313001,24.5848177,73.70953879999999
Sewa Bank,RAJASTHAN,JODHPUR,None,"1st Floor, M.R. Tower, 757/A, Opp. Kohinoor Cinema, Geeta Bhawan, Jodhpur, Rajasthan - 342001",342001,26.2812962,73.0055373
Sewa Bank,RAJASTHAN,Bhiwadi,None,"2nd Floor, Shop No.206, Agarwal Arcade, A-96(A), Neelam Chowk, Bhiwadi, Distt. Alwar, Rajasthan – 301019",301019,28.212529,76.8473693
Sewa Bank,RAJASTHAN,Kuchaman City,None,"Ground Floor, Suratpura Sadan, Near Kuchaman Collage, Station Road, Kuchaman City, Nagaur, Rajasthan – 341508.",341508,27.0998387,74.8509137
Sewa Bank,RAJASTHAN,Shahpura,None,"1st Floor, Ward No. 18 (Old ward no. 12), Old Delhi Road, Above SBI Bank, Shahpura, Jaipur, Rajasthan – 303103",303103,27.383902,75.96055199999999
Sewa Bank,RAJASTHAN,Chomu,None,"First floor, Nayak Plaza, Near Rajasthan Narsingh Home, Jaipur Road, Chomu, Rajasthan -303802",303802,27.0670138,75.389809
Sewa Bank,RAJASTHAN,Sirohi,None,"2nd Floor, Varahi Complex, Opposite Rajmata Dharamsala, Sirohi, Rajasthan - 307001",307001,24.8855962,72.8627443
Sewa Bank,RAJASTHAN,Banswara,None,"1st Floor, Plot No. 1, Housing Board, Link Road, Near Pratap Circle, Shyampura, Banswara, Rajasthan - 327001",327001,23.5580811,74.4284708
Sewa Bank,DELHI NCR,DELHI-1,None,"1st Floor, 216/C-12, Old No. C-12, Plot No. 13-B,Guru Nanak Pura, Laxmi Nagar, Delhi – 110092",110092,28.6339013,77.2741659
Sewa Bank,DELHI NCR,DELHI-2,None,"2nd floor, Plot no. 18, Secotr 5, Near Miraj Cinema, Rajendra Nagar, Sahibabad, ghaziabad , UP- 201005",201005,28.6790655,77.35885420000001
Sewa Bank,DELHI NCR,DELHI-3,None,"2nd Floor, A-13, Sarai Pipal Thala Extension, Adarsh Nagar, Delhi 110033",110033,28.719921,77.16761199999999
Sewa Bank,DELHI NCR,DELHI (Sawda Ghewra),None,"A-404-405, J.J. Colony, Sawda Ghewra, Delhi - 110081",110081,28.7025061,76.9830277
Sewa Bank,HARYANA,REWARI,None,"2nd floor,plot no-2,Mahrana Pratap Chowk,Bawal Road,Rewari-123401",123401,28.1892125,76.6138885
Sewa Bank,HARYANA,Bahadurgarh,None,"2nd Floor, 827/18, Model Town, Rohtak Road, Bahadurgarh, Haryana- 124001",124001,28.8911997,76.6167438
Sewa Bank,HARYANA,Bhiwani,None,"1st Floor, Circular Road, Near Halwasia Mandir, Dinod Gate, Bhiwani, Haryana- 127021",127021,28.7939182,76.1287904
Sewa Bank,HARYANA,Panipat,None,"1st floor, Plot No. 224 L, Model Town, Ring Road, Panipat, Haryana, 132103",132103,29.39187909999999,76.95778659999999
Sewa Bank,HARYANA,Rohtak,None,"1st Floor P.no-25,26, Above Karur Vysya Bank, Subhash Road, Bhagwan Colony Rohtak- 124001",124001,28.8987598,76.5879885
Sewa Bank,HARYANA,Hisar,None,"2nd floor, SCF 40, Urban Estate II, Near Jindal Chowk, Hisar, Haryana-1250011",,29.1387719,75.7380562
Sewa Bank,HARYANA,Narnaul,None,"Ground floor, Puri Tower, Near Saraswati Garden, Rewari Road, Narnaul, Haryana- 123001.",123001,28.0687645,76.10678899999999
Sewa Bank,UTTAR PRADESH,AGRA 1,None,"Unit No. 402, 4th floor, Business park, E-15/8, Sanjay Place, Agra, UP 282002",282002,27.1986569,78.0059814
Sewa Bank,UTTAR PRADESH,AGRA 2,None,"1st Floor, Office No. 3, Chacha Complex, Hari Nagar, Goal market,Rajpur Chungi, Shamsabad Road, Agra, Uttar Pradesh – 282001",282001,27.1530834,78.0338933
Sewa Bank,UTTAR PRADESH,LUCKNOW,None,"2nd floor,B-2/1, Kuntiraj, Tower, Gomti Nagar, Vibhuti Khand,Lucknow, UP- 226010",226010,26.8636487,80.99988050000002
Sewa Bank,UTTAR PRADESH,KANPUR,None,"2nd floor, Office No. 203, House No. 111A/6, Ashok Nagar, Kanpur, UP-208012",208012,26.4699178,80.3163388
Sewa Bank,UTTAR PRADESH,MATHURA,None,"Ground floor, 13-B, Samar Complex, Goverdhan Choraha, Mathura, Uttar Pradesh - 281004",281004,27.5000358,77.6534394
Sewa Bank,UTTAR PRADESH,GORAKHPUR,None,"1st Floor, Plot No. 150B, Medical College Road, Salempur, Near City Hospital, Gorakhpur, Uttar Pradesh – 273013",273013,26.8049401,83.3934156
Sewa Bank,UTTAR PRADESH,VARANASI,None,"3rd Floor, C-33/2, Prem Complex, Chandua Shatti, Sigra, Varanasi, Uttar Pradesh - 221002",221002,25.3184356,82.9916512
Sewa Bank,UTTAR PRADESH,ALIGARH,None,"1st Floor, H1, J-77, Krishna Complex, Infront of Lal Mandir, Janakpuri Colony, Aligarh, Uttar Pradesh-202001",202001,27.8960199,78.0869632
Sewa Bank,UTTAR PRADESH,MORADABAD,None,"UGF, Hall no.1, Parshwanath Plaza-II, Neelgiri Commercial Yojna, Mansarovar, Delhi Road, Moradabad, Uttar Pradesh-244001.",244001,28.8375408,78.7497059
Sewa Bank,UTTAR PRADESH,Bareilly,None,"First Floor, Shri Krishna Complex, A-1, (A) Priyadarshini Nagar, DD Puram Chauraha, Bareilly, UP-243005",243005,28.3810426,79.4283729
Sewa Bank,UTTAR PRADESH,Bulandshahr,None,"1st Floor, M.P Complex, Delhi Road, Najeempura, Bhoor, Bulandshahr, UP – 203001.",203001,28.4122391,77.83736619999999
Sewa Bank,UTTAR PRADESH,Noida,None,"First Floor, Khasra No 1135, Village Barola, Tehsil Dadri, District Gautam Buddh Nagar, UP – 201301",201301,28.5661738,77.3761257
Sewa Bank,UTTAR PRADESH,Saharanpur,None,"First Floor, Plot No – 2, Mohammadpur Mafi, Delhi Road, Saharanpur, Uttar Pradesh- 247001",247001,29.9154847,77.5199173
Sewa Bank,MAHARASHTRA,NAGPUR 1,None,"3rd Floor, Block No. 303-B, Shyam Arcade, Plot No. 55, Old Bagadganj Layout, Near Telephone Exchange Square, Dighorikar Chowk, Nagpur, Maharashtra – 440008",440008,21.1483939,79.1201007
Sewa Bank,MAHARASHTRA,BHANDARA,None,"1st Floor, Asra Corporate Tower, Plot No-1, Sai Mandir Road, Takiya Ward, Bhandara, Maharashtra - 441904",441904,21.1612673,79.6463339
Sewa Bank,MAHARASHTRA,PUNE,None,"3rd Floor, Flat no 3, Vedvati apartments,  Near Bhavkar Bhavan, Behind Rahul talkies,  Shivajinagar, Pune, Maharashtra - 411005",411005,18.532326,73.8463013
Sewa Bank,MAHARASHTRA,Yavatmal,None,"1st floor, Shop No. 32,33 & 34, Super Market, Dhamangaon Road, Near SBI Chowk, Yavatmal, Maharashtra-445001.",445001,20.4119816,78.1377421
Sewa Bank,MAHARASHTRA,Amravati,None,"2nd floor, Daroga plot, Near Dwarkadish Apartment, Rajapeth, Amravati, Maharashtra-444601",444601,20.9210921,77.7571663
Sewa Bank,BIHAR,PATNA,None,"Ground Floor, 235, Kanti Niwash, Kailash Puri, 90 feet Road, Malahipakari, Kankarbagh, Patna-800020",800020,25.5901923,85.1612198
Sewa Bank,GUJARAT,AHEMADABAD,None,"Sewa Grih Rin Limited 301, 3rd Floor, H K House, Above Gujarat Tourism Office,Opp. Bata Showroom Lane, Ashram Road,Ahmedabad - 380006",380006,23.0358344,72.5699759
Sewa Bank,GUJARAT,PALANPUR,None,"1st Floor, Office No-F/3/A, Somnath Plaza, Abu Road Highway, Near Income Tax Office, Palanpur, Gujarat - 385001",385001,24.1785189,72.41939099999999
Sewa Bank,GUJARAT,HIMMATNAGAR,None,"3rd Floor, Office No-25+40, Pratham Square, Near of Swaminarayan Mandir, Sahakari Jin Road, Himmatnagar, Gujarat – 383001",383001,23.5875828,72.9698083
Sewa Bank,GUJARAT,Ahmedabad - 2,None,"Unit no. 401, 4th Floor, Radhe Kishan Business Park, Narol-Naroda Road, Ahmedabad, Gujarat-382443",382443,22.9742454,72.5934358
Sewa Bank,UTTARAKHAND,Haridwar,None,"First Floor, Krishna Garden Railway Road, Jwalapur, Haridwar, Uttarakhand 249407",249407,29.9270591,78.10797629999999
Sewa Bank,UTTARAKHAND,Dehradun,None,"Second Floor,  Shivalik Tower, 231 Kha Danda Lakhond, Main Sahastradhara Road, Dehradun, Uttrakhand - 248001",248001,30.3601127,78.0893545
Sewa Bank,UTTARAKHAND,Kashipur,None,"Second Floor, Khasra No. 151, Gram Mashepura, Kashipur-Ramnagar Road, Kashipur, Uttarakhand -244713",244713,29.2220662,78.9666641
Sewa Bank,UTTARAKHAND,Rudrapur,None,"Second Floor, Ranbros Complex, SFS-15, Vivekanand Nagar, Nainital Road, Rudrapur, Uttarakhand-263153",263153,28.8612254,79.5157428
