Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
SMFG Grihashakti,Gujarat,Ahmedabad,Ahmedabad,"1st Floor Shop No.114, Mangalam Arcade, Opp Odhav Lake, Odhav BRTS Road, Odhav Ahmedabad Gujarat - 382415",382415,23.02438,72.665115
SMFG Grihashakti,Haryana,Hisar,Hisar,"2nd Floor, SCO 149, Red Square Market, Hisar, Haryana - 125001",125001,29.1580697,75.721602
SMFG Grihashakti,Uttar Pradesh,Ayodhya,Ayodhya,"2nd Floor, Plot No.282, Lakshman Das Complex, Deokali Bypass, Ayodhya, Uttar Pradesh - 224001",224001,26.76907167,82.1722516
SMFG Grihashakti,Maharashtra,Amravati,Amravati,"Office No.13 & 20, Second Floor, Busyland Heights, Jawahar Road, Chitra Chowk, Amravati, Maharashtra - 444601",444601,20.931758,77.752137
SMFG Grihashakti,Telangana,Kukatpally,Kukatpally,"Plot 38, 3rd Floor, Sridevi Nialayam, Sardarpatel Nagar, Near JNTU Metro Station, Kukatpally, Telangana - 500072. Medchal-Malkajgiri  Mandal.",500072,17.497719,78.389606
SMFG Grihashakti,Chattisgarh,Durg,Durg,"First Floor, Manohar Plaza, Station Road, Opp.Arjun Dresses, Indira Market, DURG (C.G.) - 491001",491001,21.192804,81.282822
SMFG Grihashakti,Gujarat,Gandhidham,Gandhidham,"1st Floor, Aum Corner, Banking Circle, Gandhidham – 370201",370201,23.0662568,70.13952
SMFG Grihashakti,Maharashtra,Akola,Akola,"3rd Floor, Yamuna Plaza, Plot No.9, Survey No.37, Nazul Plot No.1/9, Nazul Sheet, No.79-80, Murtizapur Road, Akola, Maharashtra – 444001",444001,20.699954,77.013672
SMFG Grihashakti,Rajasthan,Pali,Pali,"1st Floor, 83 Veer Durga Das Nagar, Guru Nanak Marg, Pali, 306401 ( Rajasthan )",306401,25.7737856,73.3340581
SMFG Grihashakti,Tamil Nadu,Chennai,Chennai,"1st Floor, No.141, Yazhini Complex, Burma Colony, 1st Main Road, Perungudi, Tamil Nadu – 600096",600096,12.960592,80.24754
SMFG Grihashakti,Punjab,Barnala,Barnala,"2nd Floor, B- 013/00153, T R Complex, Court Road, Barnala, Punjab - 148101",148101,30.361,75.53365
SMFG Grihashakti,Uttar Pradesh,Ghaziabad,Ghaziabad,"1st Floor, C-53, RDC Building, Ghaziabad, Uttar Pradesh - 201002",201002,28.67608272,77.44288044
SMFG Grihashakti,Maharashtra,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,"C-501, 5th Floor, C Wing, Space Olympia, Sutgirni Chowk, Garkheda, Chhatrapati Sambhajinagar, Maharashtra - 431009",431009,19.858891,75.345136
SMFG Grihashakti,Telangana,Nizamabad,Nizamabad,"First Floor, D No:-5-6-572, Pragathi Nagar, Nizamabad, Telangana - 503001",503001,18.67038,78.10577
SMFG Grihashakti,Karnataka,Bangalore,Bangalore,"NM complex #6 First floor Service Road, Remco Layout, Hampi Nagar, RPC Layout, Adj to Attiguppe Metro Station, Vijayanagar - 560040",560040,12.9618799,77.5339555
SMFG Grihashakti,Chattisgarh,Raigarh,Raigarh,"1st Floor, Patel House, Near Hotel ANSH, Opposite Indusind Bank, Jagatpur, Raigarh, Chhattisgarh – 496001",496001,21.9092,83.389838
SMFG Grihashakti,Madhya Pradesh,Gwalior,Gwalior,"4th Floor, 33 The Empire, City Center, Lashkar, Gwalior, MP 474001",474001,26.206226,78.191376
SMFG Grihashakti,Tamil Nadu,Hosur,Hosur,"2nd Floor, Krishna Tower, Krishnagiri Bypass Road, Hosur Town, Krishnagiri, Hosur, Tamil Nadu - 635109",635109,12.734435,77.832458
SMFG Grihashakti,Punjab,Moga,Moga,"Ground Floor, Khewat No:-30, Near Union Bank, Gandi Road, Moga, Punjab - 142001",142001,30.82150848,75.16354032
SMFG Grihashakti,Madhya Pradesh,Sagar,Sagar,"First Floor, Chourasia Tower, Plot No.463, & 13/1, Gopal Ganj, Ward 55, Adarsh Nagar, Sagar, Madhya Pradesh - 470002",470002,23.833,78.7574
SMFG Grihashakti,Rajasthan,Ajmer,Ajmer,"3rd Floor, 244-A, Above Great Eastern Limited, Circular Road, Anasagar Link Road, Vaishali Nagar, Ajmer - 305001",305001,26.488286,74.629447
SMFG Grihashakti,Tamil Nadu,Dindigul,Dindigul,"1st Floor, Door No-H-68, 80 Feet Road, RM Colony, Main Road Dindigul, Tamil Nadu - 624001",624001,10.375704,77.974985
SMFG Grihashakti,Telangana,Warangal,Warangal,"1st Floor, House No.15-1-237, Shop No.11 & 12, Warangal City Centre, Warangal, Greater Warangal, Telangana - 506002",506002,17.999836,79.584647
SMFG Grihashakti,Gujarat,Jamnagar,Jamnagar,"Soham Compex, Ground Floor, Gurudwara Road, Jamnagar - 361001",361001,22.472425,70.065751
SMFG Grihashakti,Andhra Pradesh,Kurnool,Kurnool,"4th Floor, House No.40/29-X-4F-402, SP Square, Park Road, Kurnool, Andhra Pradesh - 518001",518001,15.829471,78.041223
SMFG Grihashakti,West Bengal,Durgapur,Durgapur,"1st Floor, Plot No.UCP/012, Under Bengal Ambuja City, Centre Faridpur Mamra Durgapur-713216, West Bengal",713216,23.5398,87.3045
SMFG Grihashakti,Madhya Pradesh,Rajgarh,Rajgarh,"4th Floor, Neelu Trade Centre, AB Road, Above Hero Showroom, Biaora, Rajgarh, Madhya Pradesh - 465674",465674,23.926,76.91323
SMFG Grihashakti,Gujarat,Ahmedabad,Ahmedabad,"4th Floor, Satkar Complex, Adjoining Swagat, C.G Road, Ahmedabad, Gujarat - 380006",380006,23.0295415,72.557857
SMFG Grihashakti,Uttar Pradesh,Bareilly,Bareilly,"Plot No.63, 2nd Floor, Sheel Kishan Tower, Chopla Road, Opp Railway Institute, Civil Lines, Bareilly, Uttar Pradesh - 243001",243001,28.353741,79.413529
SMFG Grihashakti,West Bengal,Kolkata,Kolkata,"6th Floor, Anar Chambers, 5 B.N., Sarkar Sarani, Kolkata, West Bengal - 700072",700072,22.56576,88.35353
SMFG Grihashakti,Rajasthan,Bhiwadi,Bhiwadi,"2nd Floor, A-16, Bhagatsingh Commercial Complex, Bhiwadi, Rajasthan - 301019",301019,28.20589,76.808237
